link,collected_at,repo_id,repo_name,query,title,tag_matched_keywords,tag_matched_concepts,tag_is_duplicate,tag_duplicate_of,tag_topic_relevance_score,tag_topic_relevance_confidence,include,exclusion_reason
https://repositorio.ufba.br/handle/ri/13078,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Estratégias alternativas de preparo de amostras para a determinação de metais em alimentos por espectrometria de absorção atômica em chama,[],[],,,0,0.024,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/15802,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,"Desenvolvimento de sistema de análise por injeção seqüencial para determinação espectrofotométrica da capacidade antioxidante em bebidas empregando o radical derivado do N-fenil-1, 4-fenilenodiamino",,,true,34,,,false,Duplicate of 34
https://repositorio.ufba.br/handle/ri/24818,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Hyhiéne na mulher em estado de gravidez,,,true,47,,,false,Duplicate of 47
https://repositorio.ufba.br/handle/ri/25862,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Fractura do radius e seu tratamento,,,true,48,,,false,Duplicate of 48
https://repositorio.ufba.br/handle/ri/2904,2026-02-11T10:01:50-03:00,BR-FED-0001,Repositório Institucional da UFBA,vinho de,Avaliação de mosto de uva fermentado,[fermentado],[],,,0.2,0.047200000000000006,true,
https://repositorio.ufba.br/handle/ri/22078,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,"Contrato que se fez no Conselho Ultramarino com José Manoel de Sousa Lobo, do rendimento da agua ardente, e vinhos de mel da Bahia [...]",,,true,62,,,false,Duplicate of 62
https://repositorio.ufba.br/handle/ri/36042,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,"As denominações de cachaça: um estudo dialetocológico, etnolinguístico  e semântico cognitivo",,,true,26,,,false,Duplicate of 26
https://repositorio.ufba.br/handle/ri/32074,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,Patrimônio industrial: narrativas de uma ruína santamarense,[],[],,,0,0.0084,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/35878,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,"Doenças e desvios na independência angolana: higienismo, liamba, kaporroto e kazukuta",[],[],,,0,0.013199999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/41203,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,Intervenção na Usina Assucareira Santo Antônio: joia do patrimônio industrial sul-mato-grossense,[],[],,,0,0.013199999999999998,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/30654,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,"“Tanto negócio e tanto negociantes”: a cidade de Salvador, uma cidade comercial (1750-1808)",[],[],,,0,0.0156,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/33184,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,Devo que pagarei: comércio e crédito na Vila de Ilhéus na primeira metade do oitocentos,[],[],,,0,0.018,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/2691,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,"Vigilância em Saúde: afinal, do que estamos tratando?",[],[],,,0,0.0096,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/19144,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,Análise de compostos fenólicos e atividade antioxidante em cachaças baianas,[],[],,,0,0.012,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/1272,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,Precificação e Valor: Um Estudo sobre a Influência da Força das Marcas,[],[],,,0,0.0144,false,Topic relevance score (0.00) below minimum threshold (0.10)
https://repositorio.ufba.br/handle/ri/32004,2026-02-11T10:01:51-03:00,BR-FED-0001,Repositório Institucional da UFBA,aguardente de,Adoradores de Dionísio: uso e restrições ao consumo do álcool na Bahia (1870-1930),[],[],,,0,0.0156,false,Topic relevance score (0.00) below minimum threshold (0.10)
